method,metric,margin,bias,ci90_lo,ci90_hi,boot_lo,boot_hi,verdict,n_equiv,bt_n,bt_mae,bt_median_ae,bt_rmse,bt_loa_mean,bt_loa_lo,bt_loa_hi,bt_loa_lo_ci95_lo,bt_loa_lo_ci95_hi,bt_loa_hi_ci95_lo,bt_loa_hi_ci95_hi,bt_q25_diff,bt_q50_diff,bt_q75_diff,bt_q95_diff,bt_q05_diff
B2_mean_cv,tar_percent,5.0,1.6577627259263639,1.2867285620119402,2.0287968898407875,-0.04825201460580426,3.221943115917832,Robustly equivalent,1,719,5.052912622477459,4.288029100529101,6.260032371077878,1.6577627259263639,-10.182094185000663,13.497619636853392,-10.948162255665217,-9.416026114336109,12.731551566188838,14.263687707517946,-2.109741852784488,1.9545454545454533,5.725224944135409,10.96226133645489,-9.01922913741971
B2_mean_cv,lbgi,1.0,0.20380913127677386,0.1444997473956769,0.2631185151578708,-0.062185931749176436,0.4415586671007382,Robustly equivalent,1,719,0.6655130191970992,0.45097977120065,0.9862231257826279,0.20380913127677386,-1.688778363144335,2.0963966256978828,-1.811233462164744,-1.566323264123926,1.9739415266774738,2.2188517247182915,-0.026259153899367754,0.24110043859097385,0.663962315068752,1.506087050447778,-1.3518044306007766
B2_mean_cv,hbgi,2.0,0.21441709375652013,0.12915038225124542,0.29968380526179483,-0.0026418974055883128,0.4517065860657434,Robustly equivalent,1,719,0.8675800806152765,0.5900455575187298,1.4037196087396324,0.21441709375652013,-2.506479690617741,2.935313878130781,-2.6825284525043216,-2.33043092873116,2.7592651162442,3.1113626400173615,-0.4120677751085351,0.1601450835942173,0.7460282718533899,2.0211913722109855,-1.5286372794154968
B3_mean_tir,mean_glucose_mgdl,10.0,-0.7543111934482291,-1.1254413225959254,-0.3831810643005328,-1.5659666356476027,0.12363460346954411,Robustly equivalent,1,719,4.101862728617051,3.025318989667113,6.0850362059691685,-0.7543111934482291,-12.59723039550873,11.08860800861227,-13.363496603995225,-11.830964187022234,10.322341800125775,11.854874217098766,-3.577379293690157,-0.7009025618202998,2.2722999048259567,7.337651285607847,-9.975471768583123
B3_mean_tir,tir_percent,5.0,-0.5103759564895777,-0.65274938883393,-0.3680025241452254,-0.8837489438841236,-0.22218879992864957,Robustly equivalent,1,719,1.4443902651332023,1.0050042944032498,2.3719057808794957,-0.5103759564895777,-5.053572327116706,4.03282041413755,-5.347528386254926,-4.759616267978486,3.73886435499933,4.32677647327577,-1.2774935445659494,-0.2620105069865559,0.6830787245391292,2.1239758823991792,-3.5397611625710965
B3_mean_tir,gmi_percent,0.5,-0.01804312374728161,-0.02692055643649451,-0.00916569105806871,-0.03745792192469046,0.0029573397149913684,Robustly equivalent,1,719,0.09811655646851986,0.07236563023283615,0.1455540660467826,-0.01804312374728161,-0.30132575106056897,0.26523950356600573,-0.31965483876756595,-0.282996663353572,0.24691041585900875,0.2835685912730027,-0.08557091270506767,-0.01676558927874261,0.05435341372343716,0.17551661875173985,-0.23861328470450882
B3_mean_tir,tbr_percent,3.0,2.581049072524787,2.3649609329667793,2.797137212082795,1.9452311048317423,3.1891146898064884,Not robust,0,719,3.1555123378840912,2.249599451779785,4.3613740986929574,2.581049072524787,-4.314414745479136,9.47651289052871,-4.76056833526791,-3.868261155690363,9.030359300739937,9.922666480317483,0.2698414317691197,1.9832175925925926,4.522046462164721,8.830603812517651,-1.78423456883479
B3_mean_tir,tar_percent,5.0,-2.0706731160352083,-2.3152327328409688,-1.8261134992294477,-2.770159850157057,-1.2960087436180765,Robustly equivalent,1,719,3.3591746479522406,2.3697953526775066,4.48542520633312,-2.0706731160352083,-9.874673800562974,5.733327568492557,-10.379611976153894,-9.369735624972053,5.2283893929016365,6.238265744083478,-4.369904554828679,-1.8203249924370084,0.07873152070546041,3.2469034561640693,-8.229858740617253
B3_mean_tir,lbgi,1.0,0.49294558375789865,0.43928470726841884,0.5466064602473785,0.36226487682599806,0.6185088098139796,Robustly equivalent,1,719,0.6916211332139767,0.5068607795896276,1.0025900186884817,0.49294558375789865,-1.2193956536298929,2.20528682114569,-1.3301883733319684,-1.1086029339278174,2.0944941014436145,2.316079540847766,0.10583570768395664,0.4272151633154571,0.8781105119789961,1.779060595937175,-0.44711188685190234
B3_mean_tir,hbgi,2.0,0.8621337901053859,0.770579353217315,0.9536882269934569,0.6318671013864005,1.1009242653741718,Robustly equivalent,1,719,1.228610653272081,0.9405808335089052,1.7210517872361812,0.8621337901053859,-2.059406967433248,3.78367454764402,-2.2484378913990546,-1.8703760434674408,3.594643623678213,3.9727054716098267,0.0565593511018081,0.7159568450636185,1.5574016912971045,3.2360013300548442,-1.3237343407819304
